question,answer,images
Differentiate between Training Sets and Test Sets?,"Training SetThe data in the training set are the examples provided to the model to train that particular model.Usually, around 70-80% of the data is used for training purposes. The number is completely up to the user. However, having a higher amount of training data than testing data is recommended.To train the model, the training set is the labeled data that is used.Test SetThe data in the test are used to test the model accuracy of the already trained model.The Test Set contains around 20%-30% of the total data. This data is then further used to test the accuracy of the trained model.For testing purposes, labeled data is not used at all, however, the results are further verified with the labels.",
Define Bias and Variance.,"BiasWhen a model makes predictions, a disparity between the model's prediction values and actual values arises, and this difference is known as bias. Bias is the incapacity of machine learning algorithms like Linear Regression to grasp the real relationship between data points.VarianceIf alternative training data were utilized, the variance would describe the degree of variation in the prediction. In layman's terms, variance describes how far a random variable deviates from its predicted value.",
You have come across some missing data in your dataset. How will you handle it?,"In order to handle some missing or corrupted data, the easiest way is to just replace the corresponding rows and columns, which contain the incorrect data, with some different values. The two most useful functions in Panda for this purpose are isnull() and fillna().isnull():is used to find missing values in a datasetfillna():is used to fill missing values with 0’s",
Explain Decision Tree Classification.,"A decision tree uses a tree structure to generate any regression or classification models. While the decision tree is developed, the datasets are split up into ever-smaller subsets in a tree-like manner with branches and nodes. Decision trees can handle both category and numerical data.",
How is a logistic regression model evaluated?,"One of the best ways to evaluate a logistic regression model is to use a confusion matrix, which is a very specific table that is used to measure the overall performance of any algorithm.Using a confusion matrix, you can easily calculate the Accuracy Score, Precision, Recall, and F1 score. These can be extremely good indicators for your logistic regression model.If the recall of your model is low, then it means that your model has too many False Negatives. Similarly, if the precision of your model is low, it signifies that your model has too many False Positives. In order to select a model with a balanced precision and recall score, the F1 Score must be used.",
"To start Linear Regression, you would need to make some assumptions. What are those assumptions?","To start a Linear Regression model, there are some fundamental assumptions that you need to make:The model should have a multivariate normal distributionThere should be no auto-correlationHomoscedasiticity, i.e, the dependent variable’s variance should be similar to all of the dataThere should be a linear relationshipThere should be no or almost no multicollinearity present",
What is multicollinearity and how will you handle it in your regression model?,"If there is a correlation between the independent variables in a regression model, it is known as multicollinearity. Multicollinearity is an area of concern as independent variables should always be independent. When you fit the model and analyze the findings, a high degree of correlation between variables might present complications.There are various ways to check and handle the presence of multicollinearity in your regression model. One of them is to calculate the Variance Inflation Factor (VIF). If your model has a VIF of less than 4, there is no need to investigate the presence of multicollinearity. However, if your VIF is more than 4, an investigation is very much required, and if VIF is more than 10, there are serious concerns regarding multicollinearity, and you would need to correct your regression model.",
Explain why the performance of XGBoost is better than that of SVM?,"XGBoost is an ensemble approach that employs a large number of trees. This implies that when it repeats itself, it becomes better.If our data isn't linearly separable, SVM, being a linear separator,  will need to use a Kernel to bring it to a point where it can be split. Due to there not being an ideal Kernel for every dataset, this can be limiting.",
Why is an encoder-decoder model used for NLP?,"An encoder-decoder model is used to create an output sequence based on a given input sequence. The final state of the encoder is used as the initial state of the decoder, and this makes the encoder-decoder model extremely powerful. This also allows the decoder to access the information that is taken from the input sequence by the encoder.",
What are Machine Learning and Artificial Intelligence?,"Artificial Intelligence is a system of producing intelligent machines that can imitate human intelligence. Machine Learning is training machines to learn from present data and act on these experiences in the future. To know further through in-depth comparison, readmachine learning vs artificial intelligence vs deep learning.",
Differentiate between Deep Learning and Machine Learning?,Machine Learning adopts algorithms to learn from data sets and apply this to future decision making.Deep Learningis a subset of Machine Learning that uses large amounts of data and complex algorithms to create neural networks that can learn and make decisions on their own.,
What is cross validation?,Cross validationis a concept used to evaluate models’ performances to avoid overfitting. It is an easy method to compare the predictive capabilities of models and is best suitable when limited data is available.,
What are the types of Machine learning?,"There are mainly three types of Machine Learning, viz:Reinforcement learning: It is about taking the best possible action to maximize reward in a particular scenario. It is used by various software and machines to find the best path it should take in a given situation.Supervised learning: Using labeled datasets to train algorithms to classify data easily for predicting accurate outcomes.Unsupervised learning: It uses ML to analyze and cluster unlabeled datasets.",
Differentiate between Supervised and Unsupervised learning.,Supervised algorithms are those that use labeled data to learn a mapping function from input variables to output variables. Unsupervised algorithms learn from unlabeled data and discover hidden patterns and structures in the data.,
What is Selection Bias?,"Selection Bias is a statistical error that brings about a bias in the sampling portion of the experiment. This, in turn, causes more selection of the sampling portion than other groups, which brings about an inaccurate conclusion.",
What is the difference between correlation and causality?,"Correlation is the relation of one action (A) to another action (B) when A does not necessarily lead to B, but Causality is the situation where one action (A) causes a result (B).",
What is the difference between Correlation and Covariance?,"Correlation quantifies the relationship between two random variables with three values: 0,1 and -1.Covariance is the measure of how two different variables are related and how changes in one impact the other. Readcorrelation vs covarianceto know about these two and for a further in-depth comparison.",
What is the difference between supervised and reinforcement learning?,"Supervised learning algorithms are trained using labeled data, while reinforcement learning algorithms are trained using a reward function. Supervised learning algorithms are used to predict a given output, while reinforcement learning algorithms are used to maximize a reward by taking a series of actions.",
What are the requirements of reinforcement learning environments?,"State, reward data, agent, and environment. It is entirely different from other machine learning paradigms. Here we have an agent and an environment. The environment refers to a task or simulation; the agent is an algorithm that interacts with the environment and tries to solve it.",
