question,answer,questions_ar,answers_ar
"Explain the terms Artificial Intelligence (AI), Machine Learning (ML) and Deep Learning?","Artificial Intelligence (AI) is the domain of producing intelligent machines. ML refers to systems that can assimilate from experience (training data) and Deep Learning (DL) states to systems that learn from experience on large data sets. ML can be considered as a subset of AI. Deep Learning (DL) is ML but useful to large data sets. The figure below roughly encapsulates the relation between AI, ML, and DL",:: شرح المصطلحات التالية: الاستخبارات الصناعية، والتعلم الآلي، والتعلم العميق؟,الذكاء الاصطناعي هو مجال إنتاج الآلات الذكية. يشير ML إلى النظم التي يمكن أن تستوعب من التجارب (بيانات التدريب) وولايات التعلم العميق (DL) إلى النظم التي تتعلم من التجارب على مجموعات البيانات الكبيرة. يمكن اعتبار ML كمجموعة فرعية من AI. التعلم العميق (DL) هو ML ولكنه مفيد لمجموعات البيانات الكبيرة. الشكل أدناه يلخص تقريبًا العلاقة بين AI و ML و DL.
What are the different types of Learning Training models in ML?,ML algorithms can be primarily classified depending on the presenceabsence of target variables.,ما هي الأنواع المختلفة لنماذج التدريب على التعلم في وزارة العمل؟,يمكن تصنيف خوارزميات ML بالدرجة الأولى اعتماداً على وجود متغيرات الهدف.
What is the main key difference between supervised and unsupervised machine learning?,There are various means to select important variables from a data set that include the following,ما هو الفرق الرئيسي الرئيسي بين التعلم تحت الإشراف والتعلم غير الخاضع للإشراف؟,هناك وسائل مختلفة لانتقاء المتغيرات الهامة من مجموعة بيانات تتضمن ما يلي:
"There are many machine learning algorithms till now. If given a data set, how can one determine which algorithm to be used for that?","Machine Learning algorithm to be used purely depends on the type of data in a given dataset. If data is linear then, we use linear regression. If data shows nonlinearity then, the bagging algorithm would do better. If the data is to be analyzedinterpreted for some business purposes then we can use decision trees or SVM. If the dataset consists of images, videos, audios then, neural networks would be helpful to get the solution accurately.",يوجد الكثير من خوارزميات التعلم الآلية حتى الآن. إذا أعطيت مجموعة بيانات، كيف يمكن للمرء أن يحدد أي خوارزمية تستخدم لذلك؟,تَعَلُّم خوارزمية آلية لتُستخدَم تعتمد فقط على نوع البيانات في مجموعة بيانات مُعَلَّمة. إذا كانت البيانات خطية إذن، فإننا نَستخدم الاسترداد الخطي. إذا كانت البيانات تُظهِر الخطيّة إذاً، فإن خوارزمية التغليف ستكون أفضل. إذا كانت البيانات مُراد تحليلها مُفسَّرة لبعض أغراض العمل، فعندئذ يمكننا استخدام اشجار القرار أو SMV. إذا كانت مجموعة البيانات تتكون من صور، مقاطع فيديو، سمعيات، فإن الشبكات العصبية ستكون مفيدة للحصول على الحل بدقة.
State the differences between causality and correlation?,"Causality applies to situations where one action, say X, causes an outcome, say Y, whereas Correlation is just relating one action (X) to another action(Y) but X does not necessarily cause Y.",:: تحديد الاختلافات بين العلاقة السببية والارتباط؟,وينطبق السببية على الحالات التي يؤدي فيها إجراء ما، مثلاً x، إلى نتيجة، مثلاً ص، في حين أن الترابط هو مجرد ربط إجراء (س) بإجراء آخر (ص) ولكن x لا يسبب بالضرورة ص.
We look at machine learning software almost all the time. How do we apply Machine Learning to Hardware?,We have to build ML algorithms in System Verilog which is a Hardware development Language and then program it onto an FPGA to apply Machine Learning to hardware.,كيف نطبق التعلم الآلي على العتاد؟,علينا بناء خوارزميات ML في نظام Verilog وهو لغة تطوير العتاد ومن ثم برمجتها على FPGA لتطبيق التعلم الآلي على الأجهزة.
Explain Onehot encoding and Label Encoding. How do they affect the dimensionality of the given dataset?,"Onehot encoding is the representation of categorical variables as binary vectors. Label Encoding is converting labelswords into numeric form. Using onehot encoding increases the dimensionality of the data set. Label encoding doesnt affect the dimensionality of the data set. Onehot encoding creates a new variable for each level in the variable whereas, in Label encoding, the levels of a variable get encoded as 1 and 0.",اشرح 1 سطر ترميز و تسمية ترميز. كيف تؤثر على بعدية مجموعة البيانات المعطاة؟,واحد مُحَثّ تَرْمِز هو تمثيل المتغيرات القطعية كمُتَجَهات ثنائية. تَزَوَّجُ تَرْمِيزُ اللَحَلِ هوَ تحويلُ سَمَاعَاتِ مَعْرِفَةً إلى شكلٍ عَدِي. إستعمال تَرْمِيزِ مُحَاوَلَةِ تَزِيدَ مُعَادِلَةِ مجموعةِ البيانات. تَرْفِزُ مَحَاوِلَةُ مُؤَثِّرَةٌ عَلَى أَطْلَافِ مجموعةِ البيانات. تَرْفِزُ مَجَادِدٌ لِكَلِفَةٍ فِي ٱلْمُغَادِرَةِ، فِي تَرْمَزْمِيرِ التَرْمَازِ لِ مِنَ مُمَاذِنَ مُشَز كَ كَكُوْكُوْكُوْكُ كَ كَك 1 و 0.
"What is Bias, Variance and what do you mean by BiasVariance Tradeoff?","Both are errors in Machine Learning Algorithms. When the algorithm has limited flexibility to deduce the correct observation from the dataset, it results in bias. On the other hand, variance occurs when the model is extremely sensitive to small fluctuations.","ما هو ""بياس"" و ""بايرز"" و ما الذي تعنيه بمقايضة ""بياس-باريانس""؟",كلاهما خطأ في علم الألات Algorythms. عندما تكون للخوارزمية مرونة محدودة لاستنتاج الملاحظة الصحيحة من مجموعة البيانات، فإنها تسفر عن انحياز. من ناحية أخرى، يحدث التباين عندما يكون النموذج حساساً للغاية لتقلبات صغيرة.
How can we relate standard deviation and variance?,Standard deviation refers to the spread of your data from the mean. Variance is the average degree to which each point differs from the mean i.e. the average of all data points. We can relate Standard deviation and Variance because it is the square root of Variance.,كيف يمكننا ربط الانحراف والاختلاف المعياريين؟,الانحراف المعياري يشير إلى مدى انتشار بياناتك من المتوسط. الفرق هو متوسط الدرجة التي تختلف بها كل نقطة عن المتوسط أي متوسط كل نقاط البيانات. يمكننا ربط الانحراف المعياري والفرق لأنه الجذر التربيعي للفرق.
A data set is given to you and it has missing values which spread along 1 standard deviation from the mean. How much of the data would remain untouched?,"It is given that the data is spread across mean that is the data is spread across an average. So, we can presume that it is a normal distribution. In a normal distribution, about 68 of data lies in 1 standard deviation from averages like mean, mode or median. That means about 32 of the data remains uninfluenced by missing values.",مجموعة بيانات تعطى لكم ولها قيم مفقودة التي تنتشر على امتداد انحراف معياري واحد عن المتوسط. كم مقدار البيانات التي ستبقى غير موجودة؟,هو معطى أن البيانات موزعة على متوسط أن البيانات موزعة على متوسط. لذا، يمكننا أن نفترض أنه توزيع عادي. في التوزيع العادي، حوالي 68 من البيانات تقع في انحراف معياري واحد من متوسطات مثل متوسط، واسطة أو متوسط. هذا يعني أن حوالي 32 من البيانات تبقى غير متأثرة بالقيم المفقودة.
