question_translated,answer_translated
شرح مصطلحات الذكاء الاصطناعي (AI)، التعلم الآلي (ML) والتعلم العميق؟,الذكاء الاصطناعي (AI) هو مجال إنتاج الآلات الذكية.ML يشير إلى النظم التي يمكنها أن تمتص من التجربة (بيانات التدريب) و Dep Engearning (DL) systems
ما هي الأنواع المختلفة لنماذج التدريب على التعلم في ML؟,يمكن تصنيف خوارزميات ML في المقام الأول تبعاً لوجود عدم وجود المتغيرات المستهدفة.
ما هو الفرق الرئيسي الرئيسي بين التعلم تحت الإشراف وغير المنظم للآلات؟,هناك وسائل مختلفة لاختيار المتغيرات الهامة من مجموعة بيانات تضم ما يلي
هناك العديد من خوارزميات التعلم الآلي حتى الآن.إذا تم إعطاء مجموعة بيانات، كيف يمكن للمرء أن يحدد أي خوارزميات تستخدم لذلك؟,تعتمد خوارزمية التعلم الآلي على مجرد نوع البيانات الموجودة في مجموعة بيانات معطاة.إذا كانت البيانات خطية آنذاك، فإننا نستعمل التراجع الخطي.إذا ما أظهرت البيانات عدم الخطي آنذاك، فإن خوارزمية الكيس
هل تذكر الاختلافات بين السببية والارتباط؟,وينطبق السببية على الحالات التي يتسبب فيها إجراء واحد، مثلاً X، في نتيجة، فنقل Y، في حين أن Correlation يرتبط إجراء واحد فقط(X) بعمل آخر (Y) ولكن X لا يسبب بالضرورة حرف Y
فننظر إلى برمجيات التعلم الآلي طوال الوقت تقريباً.كيف نطبق التعلم الآلي على الأجهزة الصلبة؟,علينا بناء خوارزميات ML في System Verilog التي هي لغة لتطوير الأجهزة الصلبة ثم برمجتها على جهاز FPGA لتطبيق التعلم الآلي على الأجهزة.
شرح ترميز Onehot و ترميز لاپل Label Encoding.كيف يؤثران على البعد في مجموعة البيانات المعطاة.,ترميز واحد Honehot encoding هو تمثيل المتغيرات القطعية كم متجهات ثنائية.يقوم لاپل إنكودونگ بتحويل المسميات إلى صيغة numeric.يؤدي استخدام ترميز واحد
ما هي پياس، پترارك وما تعني بپياس ڤاريانس Tradoff؟,وكلاهما خطأ في علم التعلم الآلي Algorithms.عندما تمتلك الخوارزمية مرونة محدودة لاستنتاج الملاحظة الصحيحة من مجموعة البيانات، فإنها تؤدي إلى انحياز.من ناحية أخرى، يحدث الاختلاف عندما يكون النموذج شديد
كيف يمكننا ربط الانحراف والاختلاف القياسيين؟,الانحراف المعياري يشير إلى انتشار بياناتك من المتوسط.الفارق هو متوسط الدرجة التي تختلف بها كل نقطة عن المتوسط أي متوسط جميع نقاط البيانات.بإمكاننا ربط الانحراف المعياري والتفاضل لكونه الجذر التربيعي للت
يتم إعطاء مجموعة بيانات لك ولها قيم مفقودة تنتشر على امتداد 1 انحراف قياسي من المتوسط.كم عدد البيانات التي ستبقى غير ممسوسة؟,يُنظر إلى أن البيانات تنتشر عبر المتوسط that is the data is expulated by a an an diveral. وبالتالي، يمكننا أن نفترض أنها توزيع عادي.
هل وجود اختلاف كبير في البيانات جيد أم سيء؟,يعني الاختلاف الأعلى مباشرة أن انتشار البيانات كبير والسمة لها مجموعة متنوعة من البيانات.عادة ما ينظر إلى التباين العالي في خاصية ما على أنه ليس بالجودة الجيدة.
وإذا كانت مجموعة بياناتك تعاني من تباين كبير، فكيف ستتعامل معه؟,بالنسبة لمجموعات البيانات ذات التباين العالي، يمكننا استخدام خوارزمية الكيس للتعامل معه.إن خوارزمية batging تقسم البيانات إلى مجموعات فرعية مع أخذ عينات مقلدة من البيانات العشوائية.بعد انقسام البيانات
يتم إعطاء مجموعة بيانات لك عن كشف واحتيال المرافق.لقد بنيت نموذج أكثر تصنيفاً وحققت درجة أداء 98.5.هل يعتبر هذا طرازاً جيداً؟ إذا كان الرد بنعم، فأبرر.إن لم يكن,إن مجموعة البيانات الخاصة بكشف الغش في المرافق غير متوازنة بما فيه الكفاية أي غير متوازنة، ففي مثل هذه المجموعة من البيانات لا يمكن أن تكون درجة الدقة مقياس الأداء كما قد تكون تتنبأ فقط بتسمية فئة الأغلبية بشكل صحيح ولكن في هذه الحالة
شرح التعامل مع القيم المفقودة أو الفاسد في مجموعة البيانات المعطاة.,وهناك طريقة سهلة للتعامل مع القيم الناقصة أو القيم الفاسد هي إسقاط الصفوف أو الأعمدة المقابلة.إذا كان هناك العديد جداً من الصفوف أو الأعمدة التي يمكن إسقاطها
ما هي سلسلة الزمن؟,سلسلة الزمن هو تسلسل لنقاط البيانات العددية بالترتيب التتابعي.يتتبع حركة نقاط البيانات المختارة، على مدى فترة زمنية محددة ويسجل نقاط البيانات على فترات منتظمة.التسلسل الزمني لا يتطلب أي حد أدنى أو أقصى إدخال زمني.
ما هو تحول بوكس‌كوكس؟,تحويل بوكس‌كوكس BoxCox transvelopation هو تحويل قوة يقوم بتحويل المتغيرات غير العادية التابعة إلى متغيرات طبيعية حيث أن الوضع الطبيعي هو أكثر الافتراضات شيوعاً والتي يتم القيام بها أثناء استخدام العديد
ما هي مشكلة متدرجات الاندفاع أثناء استخدام تقنية الانتشار الخلفية؟,عندما تتراكم متدرجات الخطأ الكبيرة وتنتج عنها تغيرات كبيرة في أوزان الشبكة العصبية أثناء التدريب، تسمى مشكلة متدرجات الانكشارية.يمكن أن تصبح قيم الترجيحات كبيرة لدرجة أن تفرط في التدفق وتنتج
شرح الاختلافات بين غابات راندوم وآلات گرادنت پوستنگ.,مصفوفة الانشطار (وتسمى أيضاً مصفوفة الخطأ) هي جدول يستخدم بكثرة لتوضيح أداء نموذج التصنيف أي مصنف على مجموعة من بيانات الاختبار التي تشتهر بها القيم الحقيقية.
ما هي مصفوفة التباس ولِما تحتاج إليها؟,مصفوفة الانشطار (وتسمى أيضاً مصفوفة الخطأ) هي جدول يستخدم بكثرة لتوضيح أداء نموذج التصنيف أي مصنف على مجموعة من بيانات الاختبار التي تشتهر بها القيم الحقيقية.
ما هو تحويل فورييه؟,تحويل فورييه Fourier Provention، هو تقنية رياضية تحول أي دالة زمنية إلى دالة للتردد.يرتبط تحويل فورييه بشكل وثيق بسلسلة فورييه.يستغرق أي نمط زمني للدخول ويحس
ماذا تعني بـ «التعدين» Associative rule mining (ARM).,تعدين الحكم الجماعي Associative Role Mineing، هو أحد تقنيات اكتشاف الأنماط في البيانات مثل الملامح (dimmensions) التي تحدث معاً والملامح (dimmensions
ما هي الهاگنالية؟ تفسير العملية.,إن الهامش يضخم احتمال متغير عشوائي X نظرا لتوزيع الاحتمال المشترك X مع متغيرات أخرى.وهو تطبيق لقانون الاحتمال الكلي.
شرح عبارة «لـِرِكـّة المنطق»؟,يشير اللعنة Permality إلى الوضع الذي تمتلك فيه بياناتك الكثير من الملامح.
لماذا يكون دوران المكونات بهذه الأهمية في تحليل العناصر الرئيسية (PCA؟).,الدوران في PCP له أهمية كبيرة حيث أنه يزيد إلى أقصى حد من الفصل داخل الفرق الذي يتم الحصول عليه من قبل جميع المكونات بسببه سيصبح تفسير المكونات أكثر سهولة.إذا لم يتم دوران المكونات، إذن فنحن بحاجة إلى مكونات موسعة
شرح الاختلاف بين التطبيع والتوحيد.,التطبيع والتوحيد هما الطريقةان الشائعتان جداً المستخدمتان لمقياس السمات.
ما هو تراجع لينار؟,يمكن تعريف الوظيفة الخطية على أنها دالة الرياضيات على طائرة 2D كما، Y Mx C، حيث Y هو متغير معتمد و X هو Independent Varible، C هو Intercept و M
ما الذي يمكن أن تكون عليه المسألة عندما تختلف قيمة بيتا لمتغير معين بشكل كبير في كل مجموعة فرعية عندما تدار التراجعية على مجموعات فرعية مختلفة من مجموعة البيانات المعطاة؟,ڤارياتس في قيم بيتا في كل مجموعة فرعية تعني ضمناً أن مجموعة البيانات هي غير متجانسة.للتغلب على هذه المشكلة، يمكننا استخدام نموذج مختلف لكل مجموعة بيانات المجموعات الفرعية العنقودية أو نموذج غير متسلسل مثل أشجار القرار
ماذا يعني مصطلح «عامل التضخم»؟,عامل التضخم في ڤاريشن Variation Tempigation Factor (VIF) هو نسبة تغير النماذج إلى اختلاف النماذج مع متغير واحد مستقل فقط.يعطي VIF تقدير حجم متعدد الألوان في مجموعة من
ما هو كرنل تريك في SVM Algorithm؟,كرنل تريك هو دالة رياضية يمكنها عند تطبيقها على نقاط البيانات أن تجد منطقة التصنيف بين طبقتين مختلفتين.بناءاً على اختيار الاقتران، سواء خطي أو مستشرق، والذي يعتمد فقط على توزيع البيانات، يمكن
كيف تتعامل مع outlieres في البيانات؟,outlier هي ملاحظة في مجموعة البيانات تبعد كثيراً عن عمليات الرصد الأخرى في مجموعة البيانات.نستطيع أن نكتشف outliers باستخدام أدوات ووظائف مثل حبكة المربعات، مؤامرة التشتت، ZScore،
هل تذكر حدود پلاسيپس پلاسيڤي؟,لا تعني قابلية الفصل الخطي في الفضاء الخاصية إمكانية الفصل الخطي في الفراغ الدخيل.. لذلك، فالمدخلات تتحول بشكل غير خطي باستخدام متجهات من الوظائف الأساسية مع زيادة البعدية.
تعريف وشرح مفهوم پياس المتحور مع بعض الأمثلة.,پياس المتحرِّك Inductive Bias هي مجموعة من الافتراضات التي يستخدمها الإنسان لتوقع المخرجات نظراً لمدخلات لم تقابلها خوارزمية التعلم بعد.وعند محاولتنا لتعلم
شرح مصطلح التعلم على أساس الحالة.؟,التعلم الأمثل هو مجموعة من الإجراءات للتراجع والتصنيف التي تنتج تنبؤاً بتسمية صنفياً اعتماداً على تشابه لأقرب جيرانها في مجموعة بيانات التدريب.تجمع هذه الخوارزميات فقط جميع البيانات وتحصل
تعريف الدقة والتذكر وF1 Score؟,المتري المستخدم للوصول إلى أداء نموذج التصنيف هو Confult Metric.يمكن زيادة تفسير confult Metric مع المصطلحات التالية
درجة التثبت من الپلوت ودرجة التدريب مع حجم مجموعة البيانات على xaxis ومؤامرة أخرى مع تعقيد النموذج على xaxis.,بالنسبة للتحيز العالي في النماذج، فإن أداء النموذج على مجموعة بيانات المصادقة يشبه الأداء على مجموعة بيانات التدريب.لللفارق العالي في النماذج، أداء النموذج على مجموعة المصادقة أسوأ من الأداء على مجموعة التدريبات.
ما هي پايز ثيورم؟ الدولة على الأقل 1 حالة استخدام فيما يتعلق بوسط التعلم الآلي؟,يصف پايز ثيوريم احتمال وقوع حدث، بناء على معرفة مسبقة لظروف قد تكون مرتبطة بالحدث.على سبيل المثال، إذا كان السرطان متعلقاً بالعمر، ثم، باستخدام نظرية بايز، يمكن استخدام عمر الأشخاص لتقييم
ما هو نايڤ پايز؟ لماذا نايڤ؟,نايڤ پايز Nayive Bayes classificativeers هي سلسلة من خوارزميات التصنيف التي تقوم على نظرية بايز.تتشارك هذه العائلة من الخوارزميات مبدأ شائع
شرح كيفية عمل نايڤ پايز Classifier.,النواڤ Bayes classificers هم عائلة خوارزمية مشتقة من نظرية الاحتمال Bayes، وتعمل على فرضية أساسية وهي أن كل مجموعة من مميزات يتم تصنيفها مستقلة عن بعضها البعض وكل
ماذا تعني مصطلحات الاحتمالية المسبقة والاحتمالات الهامشية في سياق نظرية نايڤ بايز؟,الاحتمالية المسبقة هي النسبة المئوية للمتغيرات الثنائية التابعة في مجموعة البيانات.إذا تم إعطاءك مجموعة بيانات ومتغير معتمد إما 1 أو 0 ونسبة 1 هي 65 ونسبة 0 هي 35.بعد ذلك، فإن احتمال أن أي مدخل جديد
شرح الاختلاف بين لاسو وريدج؟,لاسو (L1) وريدج (L2) هي تقنيات الانتظام حيث نعاقب المعامل للعثور على المحلول الأمثل.في ريدج، تُعرَّف دالة الجزاء بمجموع مربعات المعامل
ما هو الاختلاف بين الاحتمال والاحتمالات؟,الاحتمال هو قياس احتمال وقوع حدث ما أي، ما هو اليقين بأن حدثاً معيناً سيحدث؟ في حين أن دالة الاحتمال هي دالة پارامترات داخل فضاء الپارامترات تصف احتمال الحصول على البيانات الملاحظة.
لماذا پرون شگرك؟,في سياق علم البيانات أو AIML، يشير التشفير إلى عملية تقليل الفروع الزائدة عن الحاجة لشجرة القرار، فشجر القرار عرضة للتصنيع المفرط، كما يساعد تشمير الشجرة على تقليل الحجم وتدنية
دقة النموذج أو الأداء النموذجي؟ أي واحد سوف تفضل لماذا؟,هذا سؤال حيل، ينبغي على المرء أولاً أن يحصل على فكرة واضحة، ما هو الأداء النموذجي؟ إذا كان الأداء يعني السرعة، فإنه يعتمد على طبيعة التطبيق، فإن أي تطبيق يتعلق بسيناريو الزمن الحقيقي سيحتاج إلى سرعة عالية كس
قائمة مزايا وحدود طريقة تعلم الاختلاف الزمني.؟,أسلوب التعلم المؤقت هو مزيج من طريقة مونت كارلو وأسلوب البرمجة الديناميكي، بعض مزايا هذه الطريقة تشمل
كيف ستتعامل مع مجموعة بيانات غير متوازنة؟,يمكن لتقنيات أخذ العينات أن تساعد مع مجموعة بيانات غير متوازنة.هناك طريقتان لأداء عملية أخذ العينات، تحت العينة أو Over ampling.
