question,answer,questions_ar,answers_ar
"Explain the terms Artificial Intelligence (AI), Machine Learning (ML) and Deep Learning?","Artificial Intelligence (AI) is the domain of producing intelligent machines. ML refers to systems that can assimilate from experience (training data) and Deep Learning (DL) states to systems that learn from experience on large data sets. ML can be considered as a subset of AI. Deep Learning (DL) is ML but useful to large data sets. The figure below roughly encapsulates the relation between AI, ML, and DL","en to ar: Explain the terms AI, ML and Deep Learning. Translate en to ar: Explain the term Deep Learning. Translate en to ar: Explain to en to ar: Explain to en to en to en to ar: Explain to en en to ar ",ML refers to systems that can assimilate from experience. ML refers to systems that can learn from experience. DL refers to Deep Learning (DL). DL: ML and DL. DL. DL. DL. DL. DL. DL..
What are the different types of Learning Training models in ML?,ML algorithms can be primarily classified depending on the presenceabsence of target variables.,. en to ar: What are the different types of Learning Training models in ML? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ,en to ar: ML algorithms can be classified depending on the presence or absence of target variables. ML algorithms can be classified depending on the presence orabsence of target variables. ML: ML algorithms can be classified. ML: ML: MLes
What is the main key difference between supervised and unsupervised machine learning?,There are various means to select important variables from a data set that include the following,. en to ar: What is the main key difference between supervised and unsupervised machine learning? en to ar: ? en to ar: ? en to ar: ? en to ar: en to ar: ? ,en to ar: en to ar: en to ar: en to ar:  en to ar: en to ar: en to ar: en to ar: en: en to ar: en: en to ar: en: en to ar:  variables important variables variables: en
"There are many machine learning algorithms till now. If given a data set, how can one determine which algorithm to be used for that?","Machine Learning algorithm to be used purely depends on the type of data in a given dataset. If data is linear then, we use linear regression. If data shows nonlinearity then, the bagging algorithm would do better. If the data is to be analyzedinterpreted for some business purposes then we can use decision trees or SVM. If the dataset consists of images, videos, audios then, neural networks would be helpful to get the solution accurately.",. Is machine learning a machine learning algorithm? Is machine learning a machine learning algorithm? Is machine learning a machine learning algorithm?? Is machine learning a machine learning algorithm? Is machine learning? Is machine learning? Is machine learning? How,en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en: en: :: .
State the differences between causality and correlation?,"Causality applies to situations where one action, say X, causes an outcome, say Y, whereas Correlation is just relating one action (X) to another action(Y) but X does not necessarily cause Y.",. State the differences between causality and correlation. State the differences between causality and correlation. State the differences between causality and correlation. State the differences between causality and correlation. State the differences between correlation. state the differences. state the differences. state the differences. state the differences. ,en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en en to ar: en en en 
We look at machine learning software almost all the time. How do we apply Machine Learning to Hardware?,We have to build ML algorithms in System Verilog which is a Hardware development Language and then program it onto an FPGA to apply Machine Learning to hardware.,. How do we apply Machine Learning to Hardware? How do we apply Machine Learning to Hardware? How do we apply Machine Learning to Hardware? How do we apply Machine Learning to Hardware? How do we apply Machine Learning to Hardware? Abstract,en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: :: to 
Explain Onehot encoding and Label Encoding. How do they affect the dimensionality of the given dataset?,"Onehot encoding is the representation of categorical variables as binary vectors. Label Encoding is converting labelswords into numeric form. Using onehot encoding increases the dimensionality of the data set. Label encoding doesnt affect the dimensionality of the data set. Onehot encoding creates a new variable for each level in the variable whereas, in Label encoding, the levels of a variable get encoded as 1 and 0.",encoding and label encoding. How do they affect the dimensionality of the dataset?  encoding and label encoding encoding and label encoding encoding and label encoding encoding and label encoding encoding encoding encode encoding. en,encoding is the representation of categorical variables as binary vectors. Onehot Encoding is the representation of categorical variables as binary vectors encoding Encoding is converting labelswords into binary vectors encoding encoding encoding encoding encoding encoding.
"What is Bias, Variance and what do you mean by BiasVariance Tradeoff?","Both are errors in Machine Learning Algorithms. When the algorithm has limited flexibility to deduce the correct observation from the dataset, it results in bias. On the other hand, variance occurs when the model is extremely sensitive to small fluctuations.",".: Bias, Variance Tradeoff and what do you mean by Bias, Variance Tradeoff? en to ar: Bias: Bias, Variance Tradeoff: Variance: Variance: Variance tradeoff?? Variance?  can. piata",". en to ar: Both are errors in machine learning algorithms: Both are errors in machine learning algorithms: Both are variances.: Both are variances...,"
How can we relate standard deviation and variance?,Standard deviation refers to the spread of your data from the mean. Variance is the average degree to which each point differs from the mean i.e. the average of all data points. We can relate Standard deviation and Variance because it is the square root of Variance.,. How can we relate standard deviation and variance? How can we relate standard deviation and variance: How can we relate standard deviation and variance? : How can we relate standard deviation and variance: How can we relate standard deviation and variance? : How? : : ,the square root of Standard deviation. We can relate Standard deviation and Variance. We can relate Variance to Standard deviation. We can relate Variance to Standard deviation..s
A data set is given to you and it has missing values which spread along 1 standard deviation from the mean. How much of the data would remain untouched?,"It is given that the data is spread across mean that is the data is spread across an average. So, we can presume that it is a normal distribution. In a normal distribution, about 68 of data lies in 1 standard deviation from averages like mean, mode or median. That means about 32 of the data remains uninfluenced by missing values.",en to ar: How much of the data would remain untouched? en to ar: : en to ar: en to ar: en to ar: en to en: en: en: en? en?,"the data is spread across mean. So, we can assume that the data is spread across mean. So, the data is spread across mean. Mean. Mean. more"
Is a high variance in data good or bad?,"Higher variance directly means that the data spread is big and the feature has a variety of data. Usually, high variance in a feature is seen as not so good quality.",. Is there a high variance in data? Is there a high variance in data? Is there a high variance in data? Is there a high variance? s,. en to ar: Higher variance means that the feature is not so good quality. . en to ar: . en to ar.
"If your dataset is suffering from high variance, how would you handle it?","For datasets with high variance, we could use the bagging algorithm to handle it. Bagging algorithm splits the data into subgroups with sampling replicated from random data. After the data is split, random data is used to create rules using a training algorithm. Then we use polling technique to combine all the predicted outcomes of the model.",en to ar: How would you handle high variance? b: b: b: b: b: b: b: b: b: b: ? ,en to ar: en to ar: en to ar: en to ar en to ar: en to ar: en to ar: en to ar: :: strag withclin
"A data set is given to you about utilities fraud detection. You have built aclassifier model and achieved a performance score of 98.5. Is this a goodmodel? If yes, justify. If not, what can you do about it?","Data set about utilities fraud detection is not balanced enough i.e. imbalanced. In such a data set, accuracy score cannot be the measure of performance as it may only be predict the majority class label correctly but in this case our point of interest is to predict the minority label. But often minorities are treated as noise and ignored. So, there is a high probability of misclassification of the minority label as compared to the majority label. For evaluating the model performance in case of imbalanced data sets, we should use Sensitivity (True Positive rate) or Specificity (True Negative rate) to determine class label wise performance of the classification model. If the minority class labels performance is not so good, we could do the following",en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en: en to ar: en to ar: en to ar: en: en: en: en.,en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to en en to ar: en en to ar: 
Explain the handling of missing or corrupted values in the given dataset.?,An easy way to handle missing values or corrupted values is to drop the corresponding rows or columns. If there are too many rows or columns to drop then we consider replacing the missing or corrupted values with some new value.,en to ar: Describe the handling of missing or corrupted values in the given dataset. Describe the handling of missing or corrupted values in the given dataset. ? ? ? ? : ? ? ? ? ? ??? ?,: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: s piata
What is Time series?,"A Time series is a sequence of numerical data points in successive order. It tracks the movement of the chosen data points, over a specified period of time and records the data points at regular intervals. Time series doesnt require any minimum or maximum time input. Analysts often use Time series to examine data according to their specific requirement.",en to ar: What is Time series? en to ar: en to ar: : en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar:,. en to ar: a Time series is a sequence of numerical data points. en to ar: a Time series is . en to ar: a Time series. en.. 
What is a BoxCox transformation?,BoxCox transformation is a power transform which transforms nonnormal dependent variables into normal variables as normality is the most common assumption made while using many statistical techniques. It has a lambda parameter which when set to 0 implies that this transform is equivalent to logtransform. It is used for variance stabilization and also to normalize the distribution.,en to ar: What is a BoxCox transformation? Explain en to ar: What is a BoxCox transformation? Explain en to ar: en to ar: en to ar: : en to ar: en: en: .e,mall. BoxCox transformation is used to normalize the distribution. It is used to normalize the distribution. It has a lambda parameter.: en to ar:  to
What is the exploding gradient problem while using the back propagation technique?,"When large error gradients accumulate and result in large changes in the neural network weights during training, it is called the exploding gradient problem. The values of weights can become so large as to overflow and result in NaN values. This makes the model unstable and the learning of the model to stall just like the vanishing gradient problem. This is one of the most commonly asked interview questions on machine learning.",en to ar: What is the exploding gradient problem while using the back propagation technique? en to ar: What is the exploding gradient problem? en to ar: ? en to ar: en to ar? en?  ,en to ar: This is one of the most commonly asked interview questions on machine learning. This is one of the most commonly asked interview questions on machine learning en to ar en en en en
Explain the differences between Random Forest and Gradient Boosting machines.?,Confusion matrix (also called the error matrix) is a table that is frequently used to illustrate the performance of a classification model i.e. classifier on a set of test data for which the true values are wellknown.,Random Forest and Gradient Boosting machines. Explain the differences between Random Forest and Gradient Boosting machines. Explain the differences between Random Forest and Gradient Boosting machines. Explain. trees and gradient boosting machines. Explain. Describe trees and random..:,en to ar: Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix.
What is a confusion matrix and why do you need it?,Confusion matrix (also called the error matrix) is a table that is frequently used to illustrate the performance of a classification model i.e. classifier on a set of test data for which the true values are wellknown.,. What is a confusion matrix and why do you need a confusion matrix? Why do you need a confusion matrix? ? ? : : ? ? : : : : : : : : : :: : )tine,en to ar: Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix. Confusion matrix.
Whats a Fourier transform?,"Fourier Transform is a mathematical technique that transforms any function of time to a function of frequency. Fourier transform is closely related to Fourier series. It takes any timebased pattern for input and calculates the overall cycle offset, rotation speed and strength for all possible cycles. Fourier transform is best applied to waveforms since it has functions of time and space. Once a Fourier transform applied on a waveform, it gets decomposed into a sinusoid.",en to ar: Whats a Fourier transform? : Whats a Fourier transform: Whats a Fourier transform? : Whats a Fourier transform? : Whats a Fourier transform? : en to ar?,s en to ar: en to ar: en to ar: en: en to ar: en to ar: en to ar: en to ar: : en: 
What do you mean by Associative Rule Mining (ARM)?,Associative Rule Mining is one of the techniques to discover patterns in data like features (dimensions) which occur together and features (dimensions) which are correlated. It is mostly used in Marketbased Analysis to find how frequently an itemset occurs in a transaction. Association rules have to satisfy minimum support and minimum confidence at the very same time. Association rule generation generally comprised of two different steps,en to ar: What is ARM? en to ar: What do you mean by ARM? en to ar: en to ar: en to ar: : en to ar: en to ar? ,. It is mostly used in Market Based Analysis. It is mostly used in Market Based Analysis. It is mostly used in Market Based Analysis. It is mostly used in Market Based Analysis. It is mostly used in Financial Analysis. It.. It is mostly used in Financial
What is Marginalisation? Explain the process.?,Marginalisation is summing the probability of a random variable X given joint probability distribution of X with other variables. It is an application of the law of total probability.,. Explain the process. Explain the process. Explain the process. Explain the process. Explain the process. Explain the process. Explain the process. Explain the process. Explain the process. Explain the process. Explain. Explain. Explain. Explain. Explain. Explain. Explain. Explain. else.s,en to ar: en to ar: en to ar: en to ar: en to ar??????.writer
Explain the phrase Curse of Dimensionality.?,The Curse of Dimensionality refers to the situation when your data has too many features.,. Explain the phrase Curse of Dimensionality: Explain the phrase Curse of Dimensionality. ? Explain the phrase Curse of Dimensionality. ? . ? ? ? ? ? ? ? ? ? ?  ,. The Curse of Dimensionality refers to the situation when your data has too many features.. The Curse of Dimensionality refers to the situation when your data has too many features. . . ...
Why is rotation of components so important in Principle Component Analysis (PCA)?,"Rotation in PCA is very important as it maximizes the separation within the variance obtained by all the components because of which interpretation of components would become easier. If the components are not rotated, then we need extended components to describe variance of the components.",en to ar: Why is rotation of components so important in PCA? : Why is rotation of components so important in PCA?  how? : Why is rotation of components so important? : en to ar: : en to ar: : en ,en to ar: Rotation in PCA is very important. en to ar: Rotation in PCA is very important. en to ar: Rotation in PCA.  piata
